"CREATURES";;;;;")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
"Nom";"Malun";"Femun";"Toby";"Waza";"Alice";"Ralph";"Nova";"Bibi";"Bimbo";"Eva";"Virga";"Loana";"Laure";"Bobby";"Mike";"Steph";"Lara";"Angela";"Sarah";"Marcus";"Buffy";"Angel";"Paula";"Peter";"Valentine";"Ender";"Petra";"Tuck";"Kenza";"Jason";"Lou";"Sean";"Colin";"Dave";"Ben";"Clara";"Steevy";"Diana";"Nana";"Fucky";"Alima";"Danny";"Cola";"Coca";"Monica";"Pepsi";"Mail";"Wanda";"Ganja";"Quint";"Joker";"Ken";"Blanka";"Banga";"Bahun";"Kah";"Kahde";"Bastet";"Isis";"Osiris";"Sekhmet";"Horus";"Shit";"Anubis";"Nout";"Theti";"Cleopatra";"God";"Amon";"Nefer";"Nefari";"Nefertiti";"Seth";"Apopis";"Min";"Mina";"<sansnom>";"Chia"
;"7ESX";"7ESX";;;;"8EKC";;;;"8EKC";;;"6DJE";"6DJE";"8CEB";;"8CEB";;;;;;"6OAT";"6OAT";"1HIZ";"1HIZ";"1TVM";;"9PST";;;"1TVM";"5QIZ";"9PST";;"5QIZ";"9BKB";"9BKB";;;"0CFZ";"0CFZ";;"1LYO";"6YOL";"6YOL";"1LYO";;"0QIU";;;"0QIU";;"9OIZ";;;"9OIZ";"5LEN";"2XFP";"2XFP";;"5LEN";;;;"6YJC";"6ZJE";"6ZJE";"6YJC";;;;;;;;;
;"0QTF";"0QTF";;;;"0DNX";;;"2LFG";"2LFG";;"5FZM";"0DNX";"5FZM";"0WKW";;;"0WKW";;;;;;"6XSB";"8ARU";"6DCY";"6XSB";"8ARU";"0SFQ";;"6DCY";;;"0SFQ";"5XCE";"1KLA";"1KLA";"5XCE";"0UBY";;;"0UBY";;"3QBR";"3LLO";"3QBR";;;;;"3LLO";;;"7TFO";;;"7TFO";;"5HSF";"5HSF";;"0AWL";;;"0AWL";"1HSD";;"1HSD";;;;;;;;;;
;"8PLA";"8PLA";;;;;;"5XTQ";"5HHO";;"5XTQ";"5HHO";;;;;;;;;;;;"OGSH";;;;;"0GSH";;;;;"8DSH";"3FHJ";"8DSH";;"3FHJ";;;;;;;;;;;;;;;;;;;;;;;;"9LMK";;;;;"9LMK";"9CWE";;;"9CWE";;;;;;;
;"5PWJ";"5PWJ";;;;;;;"4WJI";;;;"4WJI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8HRY";;"8HRY";;;;;;;;
;"1IET";"2TTE";"2TTE";;"1IET";;;;"7TOB";"7TOB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;"Stats 2";"Naissances";"Mort";"Populaion";"Croissance";;"Graphes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;78;39;39;;;;;;;;;;;;;;;;;;;;;0:00:00;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nom";"Moyenne";"Males";"Femelles";"Ecart-type";;"Notes";;;;;;;;;;;;;;;;;;1:00:00;2;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sexe";1,5;1;2;0,5;;;;;;;;"Grendel";"Ron";"Ronde";"Rontre";;"Moyenne";;;;;;;2:00:00;2;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"génération";8,04;7,82;8,26;4,48;;"Les lobes ne sont pas comptés dans les gènes";;;;;;1;1;1;1;;1;;;;;;;3:00:00;4;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"code";1319,66;1321,38;1284,1;129,65;;"sexe1=male ; sexe2=femelle";;;;;;1;1;1;1;;1;;;;;;;4:00:00;5;0;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ID";;;;;;"Malun et Femun enlevés à 6:10, réintroduction Nova/Waza (2min d'absence)";;;;;;0;0;0;0;;0;;;;;;;5:00:00;6;0;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"nb gènes";265,55;264,08;267,03;1,54;;;;;;;;"6JHJ";"8PEQ";"7WEW";"4AKW";;"/";;;;;;;6:00:00;8;0;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nucléotides";2124,41;2112,62;2136,21;12,34;;"vu la reproduction, enlever les Norns vieux de plus de 5-6 heures";;;;;;215;215;215;215;;215;;;;;;;7:00:00;11;3;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"N/G";8;8;8;0;;"En effet, leur espérance de vie est trop longue par rapport à la vitesse et";;;;;;1720;1720;1720;1720;;1720;;;;;;;8:00:00;11;4;7;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Recepteurs CH";41,03;40,05;42;1,01;;"au taux de reproduction (une femelle pouvant avoir plus de 4  enfants)";;;;;;8;8;8;8;;8;;;;;;;9:00:00;15;6;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;328,21;320,41;336;8,05;;;;;;;;39;39;39;39;;39;;;;;;;10:00:00;20;9;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Emetteurs CH";23,01;22,03;24;1,04;;"épidémie vers 610-630, non mortelle, chronique pour Ralph";;;;;;312;312;312;312;;312;;;;;;;11:00:00;23;11;12;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;184,1;176,21;192;8,31;;;;;;;;12;12;12;12;;12;;;;;;;12:00:00;26;14;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Reactions CH";55,54;55,05;56,03;0,53;;"Problème génétique pour alice et ses descendantes : NRJ en baisse cte";;;;;;96;96;96;96;;96;;;;;;;13:00:00;27;17;10;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;444,31;440,41;448,21;4,22;;;;;;;;44;44;44;44;;44;;;;;;;14:00:00;29;17;12;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Apparence";4;4;4;0;;;;;;;;352;352;352;352;;352;;;;;;;15:00:00;31;19;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;32;32;0;;"10:00:00 score=6100";;"0.5 gen./heure";;;;4;4;4;4;;4;;;;;;;16:00:00;34;22;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Posture";104;104;104;0;;">>>l'espérance de vie (15 heures) est donc trop longue… (plutôt 4-6 heures)";;;;;;32;32;32;32;;32;;;;;;;17:00:00;37;26;11;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;832;832;832;0;;"11:30:00 Score=8198";;;;;;103;103;103;103;;103;;;;;;;18:00:00;40;27;13;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Démarche";8;8;8;0;;">>>Leur nombre augmente exponentiellement et déjà 6ème génération";;;;;;824;824;824;824;;824;;;;;;;19:00:00;43;31;12;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;64;64;64;0;;"12:30 Individus de plus de 3:45 à éliminer";;;;;;8;8;8;8;;8;;;;;;;20:00:00;46;34;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Instincts";17,97;18,95;17;1,01;;"13:08 OWKW (5HHO/5XTQ)";;"score=9274";;;;64;64;64;64;;64;;;;;;;21:00:00;49;38;11;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;143,79;151,59;136;8,05;;"14:20 : score=10488";;;;;;5;5;5;5;;5;;;;;;;22:00:00;52;43;9;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pigments";12;12;12;0;;"Pas plus de 12 norns en même temps : tuer les 2 plus vieux si œuf(s)";;;;;;40;40;40;40;;40;;;;;;;23:00:00;55;44;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;96;96;96;0;;"16:52 naissance de Steevy : mutant émetteur chimique";;;;;;0;0;0;0;;0;;;;;;;24:00:00;58;48;10;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lobes";9;9;9;0;;"19:44 monica : mutant reactions chimiques";;;"Indolore, lié au glycogène ou à l'amidon??";;;0;0;0;0;;0;;;;;;;25:00:00;59;50;9;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;954;954;954;0;;;"Transmission létale pour males";;;;;9;9;9;9;;9;;;;;;;26:00:00;61;53;8;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yeux";0,39;0,33;0,44;0,69;;"24:00 score=20775";;"Bastet : gène altéré comme monica sans gène en plus";;;;954;954;954;954;;954;;;;;;;27:00:00;63;57;6;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cheveux";1,56;1,56;1,56;0,62;;"29:30 anubis et shit atteint d'une maladie ""incurable"" qui fait consommer très vite NRJ";;;;;;;;;;;;;;;;;;28:00:00;65;57;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Oreilles";0,94;0,77;1,1;0,52;;"29:38 introduction d'un œuf ""mâle"" pour introduire variabilité génétique";;;;;;;;;;;;;;;;;;29:00:00;66;59;7;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Postérieur";0,55;0,62;0,49;0,66;;;;;;;;;;;;;;;;;;;;30:00:00;68;63;5;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bras";0,86;0,95;0,77;0,35;;;;;;;;;;;;;;;;;;;;31:00:00;69;63;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Queue";0,54;0,51;0,56;0,5;;;;;;;;;;;;;;;;;;;;32:00:00;74;66;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;33:00:00;76;67;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parents";;;;;;;;;;;;;;;;;;;;;;;;34:00:00;78;68;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Naiss";17:37:33;17:33:45;17:41:22;09:07:38;;;;;;;;;;;;;;;;;;;;35:00:00;78;68;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mort";21:26:58;21:30:40;21:23:17;08:41:13;;;;;;;;0:05:00;10:33:00;21:00:00;30:43:00;;15:35:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3:49:25;3:56:55;3:41:55;-0:26:25;;;;;;;;10:33:00;21:00:00;30:38:00;;;20:43:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"Code  qualitatifs des gènes d'apparence";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"Yeux";"Vert=0";"Bleu=1";"Marron=2";;;10:28:00;10:27:00;9:38:00;-30:43:00;0:00:00;5:08:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Enfants";1,9;1,87;1,9;1,51;;"Peau/organe";"Foncé=0";"Clair=1";"Noir=-1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"Oreilles";"Tombantes=0";"Rondes=1";"rondesroses=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"Cheveux";"Fchauve=0";"Blanc=1";"blonc=2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;"Note :  crête+cornes=blond chez mâles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
